internship_title,company_name,category,location,work_mode,start_date,duration,stipend,currency,stipend_type,payment_period,has_incentives,stipend_min,stipend_max,stipend_average,search_text
Finance,CaratLane Trading Private Limited,Finance / Accounting,Chennai,On-site,Immediately,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Finance CaratLane Trading Private Limited Finance / Accounting Chennai On-site 3 Months Paid Amount SGD
Customer Service,Ferns N Petals,Other,Gurgaon,On-site,Not specified,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Customer Service Ferns N Petals Other Gurgaon On-site 3 Months Paid Amount SGD
Advertising Sales(Business Development) - Kerala (Malayalam),ShareChat,Technology / Data,Work From Home,Work From Home,Immediately,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Advertising Sales(Business Development) - Kerala (Malayalam) ShareChat Technology / Data Work From Home Work From Home 3 Months Paid Amount SGD
Human Resources (HR),Agarwal Packers & Movers Limited,HR / Admin / Operations,Delhi,On-site,Immediately,3 Months,S$ 133 /month,SGD,Paid Amount,Per Month,False,133.0,133.0,133.0,Human Resources (HR) Agarwal Packers & Movers Limited HR / Admin / Operations Delhi On-site 3 Months Paid Amount SGD
Legal,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Legal,Mumbai,On-site,Immediately,3 Months,S$ 200 /month,SGD,Paid Amount,Per Month,False,200.0,200.0,200.0,Legal Sanghvi Beauty & Technologies Private Limited (MyGlamm) Legal Mumbai On-site 3 Months Paid Amount SGD
Sales,NoBroker Technologies Solutions Private Limited,Marketing / Sales,Vadodara,On-site,Immediately,3 Months,S$ 160 /month,SGD,Paid Amount,Per Month,False,160.0,160.0,160.0,Sales NoBroker Technologies Solutions Private Limited Marketing / Sales Vadodara On-site 3 Months Paid Amount SGD
Human Resources (HR),MAHANADI SPICES,HR / Admin / Operations,Bilaspur,On-site,Immediately,3 Months,S$ 266 /month,SGD,Paid Amount,Per Month,False,266.0,266.0,266.0,Human Resources (HR) MAHANADI SPICES HR / Admin / Operations Bilaspur On-site 3 Months Paid Amount SGD
Fundraising,Marpu Foundation,Technology / Data,Work From Home,Work From Home,Immediately,3 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Fundraising Marpu Foundation Technology / Data Work From Home Work From Home 3 Months Unpaid No Fixed Currency
Recruitment,Marpu Foundation,Design / Creative,Work From Home,Work From Home,Immediately,3 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Recruitment Marpu Foundation Design / Creative Work From Home Work From Home 3 Months Unpaid No Fixed Currency
Human Resources (HR),Marpu Foundation,HR / Admin / Operations,Work From Home,Work From Home,Immediately,3 Months,Unpaid,No Fixed Currency,Unpaid,Unpaid,False,,,,Human Resources (HR) Marpu Foundation HR / Admin / Operations Work From Home Work From Home 3 Months Unpaid No Fixed Currency
